Date,Open,High,Low,Close,Adj Close,Volume
2007-05-30,45.790001,45.799999,45.750000,45.799999,43.735939,3100
2007-05-31,45.790001,45.799999,45.790001,45.799999,43.735939,22400
2007-06-01,45.810001,45.810001,45.810001,45.810001,43.745483,2900
2007-06-04,45.820000,45.820000,45.820000,45.820000,43.755039,2100
2007-06-05,45.830002,45.840000,45.820000,45.820000,43.755039,7500
2007-06-06,45.820000,45.840000,45.820000,45.840000,43.774147,19500
2007-06-07,45.820000,45.830002,45.820000,45.830002,43.764580,24300
2007-06-08,45.840000,45.840000,45.810001,45.840000,43.774147,15700
2007-06-11,45.840000,45.860001,45.840000,45.860001,43.793243,4800
2007-06-12,45.860001,45.860001,45.820000,45.820000,43.755039,7800
2007-06-13,45.820000,45.860001,45.820000,45.860001,43.793243,7500
2007-06-14,45.880001,45.880001,45.880001,45.880001,43.812332,26800
2007-06-15,45.900002,45.919998,45.869999,45.919998,43.850529,2100
2007-06-18,45.910000,45.939999,45.900002,45.930000,43.860077,56000
2007-06-19,45.930000,45.930000,45.930000,45.930000,43.860077,1700
2007-06-20,45.919998,45.950001,45.919998,45.939999,43.869625,6200
2007-06-21,45.930000,45.950001,45.930000,45.939999,43.869625,1700
2007-06-22,45.950001,45.980000,45.950001,45.980000,43.907825,4400
2007-06-25,45.950001,45.959999,45.950001,45.959999,43.888725,59400
2007-06-26,45.959999,45.970001,45.950001,45.970001,43.898289,10200
2007-06-27,45.980000,45.980000,45.959999,45.959999,43.888725,16400
2007-06-28,45.980000,45.980000,45.980000,45.980000,43.907825,1800
2007-06-29,45.980000,46.000000,45.970001,46.000000,43.926926,11300
2007-07-02,45.810001,45.849998,45.799999,45.810001,43.939404,26100
2007-07-03,45.779999,45.810001,45.779999,45.810001,43.939404,6000
2007-07-05,45.799999,45.810001,45.770000,45.810001,43.939404,10900
2007-07-06,45.820000,45.830002,45.820000,45.830002,43.958576,7600
2007-07-09,45.799999,45.840000,45.799999,45.840000,43.968178,7900
2007-07-10,45.830002,45.849998,45.830002,45.849998,43.977760,10500
2007-07-11,45.849998,45.849998,45.810001,45.849998,43.977760,18200
2007-07-12,45.860001,45.860001,45.840000,45.860001,43.987362,29400
2007-07-13,45.860001,45.869999,45.849998,45.869999,43.996944,26100
2007-07-16,45.889999,45.889999,45.860001,45.880001,44.006542,32300
2007-07-17,45.900002,45.900002,45.860001,45.900002,44.025723,93000
2007-07-18,45.880001,45.889999,45.849998,45.889999,44.016125,10900
2007-07-19,45.900002,45.910000,45.869999,45.900002,44.025723,27800
2007-07-20,45.930000,45.930000,45.919998,45.919998,44.044903,16000
2007-07-23,45.919998,45.930000,45.910000,45.919998,44.044903,13900
2007-07-24,45.919998,45.930000,45.910000,45.919998,44.044903,18700
2007-07-25,45.930000,45.939999,45.930000,45.930000,44.054501,19600
2007-07-26,45.930000,45.950001,45.900002,45.939999,44.064083,82100
2007-07-27,45.930000,46.000000,45.810001,45.959999,44.083267,307600
2007-07-30,45.950001,45.970001,45.919998,45.919998,44.044903,20600
2007-07-31,45.980000,45.980000,45.959999,45.980000,44.102455,108000
2007-08-01,45.790001,45.799999,45.750000,45.779999,44.087997,37300
2007-08-02,45.750000,45.790001,45.740002,45.790001,44.097633,99500
2007-08-03,45.810001,45.820000,45.770000,45.770000,44.078384,52400
2007-08-06,45.820000,45.830002,45.799999,45.820000,44.126526,44600
2007-08-07,45.830002,45.840000,45.790001,45.830002,44.136166,27900
2007-08-08,45.830002,45.840000,45.799999,45.810001,44.116898,39500
2007-08-09,45.840000,45.869999,45.830002,45.849998,44.155430,206300
2007-08-10,45.880001,45.889999,45.869999,45.880001,44.184307,224200
2007-08-13,45.880001,45.900002,45.869999,45.889999,44.193935,143600
2007-08-14,45.880001,45.900002,45.869999,45.880001,44.184307,261300
2007-08-15,45.900002,45.919998,45.880001,45.889999,44.193935,80800
2007-08-16,45.889999,46.000000,45.889999,45.950001,44.251724,245700
2007-08-17,45.849998,45.990002,45.840000,45.980000,44.280617,169500
2007-08-20,45.959999,46.049999,45.959999,46.020000,44.319126,39500
2007-08-21,46.029999,46.029999,45.950001,46.009998,44.309502,315400
2007-08-22,46.009998,46.009998,45.939999,46.009998,44.309502,60000
2007-08-23,45.990002,45.990002,45.939999,45.980000,44.280617,80500
2007-08-24,45.919998,45.970001,45.900002,45.970001,44.270992,28100
2007-08-27,45.939999,45.970001,45.910000,45.910000,44.213207,72100
2007-08-28,45.919998,45.959999,45.919998,45.959999,44.261353,58500
2007-08-29,45.980000,45.990002,45.950001,45.990002,44.290245,21100
2007-08-30,46.020000,46.020000,45.959999,46.000000,44.299870,63300
2007-08-31,45.939999,45.990002,45.930000,45.990002,44.290245,19300
2007-09-04,45.810001,45.830002,45.770000,45.820000,44.297012,21800
2007-09-05,45.830002,45.840000,45.799999,45.830002,44.306683,42800
2007-09-06,45.840000,45.840000,45.799999,45.830002,44.306683,29000
2007-09-07,45.860001,45.869999,45.820000,45.860001,44.335690,32300
2007-09-10,45.849998,45.869999,45.810001,45.869999,44.345341,70200
2007-09-11,45.820000,45.869999,45.810001,45.820000,44.297012,20600
2007-09-12,45.840000,45.889999,45.830002,45.889999,44.364693,6900
2007-09-13,45.820000,45.880001,45.820000,45.880001,44.355022,50600
2007-09-14,45.869999,45.919998,45.869999,45.910000,44.384018,65300
2007-09-17,45.910000,45.930000,45.840000,45.930000,44.403358,34700
2007-09-18,45.910000,45.950001,45.849998,45.900002,44.374352,465900
2007-09-19,45.930000,45.930000,45.869999,45.919998,44.393696,133500
2007-09-20,45.939999,45.939999,45.889999,45.889999,44.364693,44500
2007-09-21,45.900002,45.939999,45.889999,45.910000,44.384018,46900
2007-09-24,45.959999,45.970001,45.900002,45.950001,44.422695,115700
2007-09-25,45.900002,45.959999,45.900002,45.959999,44.432358,118000
2007-09-26,45.950001,45.959999,45.910000,45.910000,44.384018,42500
2007-09-27,45.959999,45.970001,45.910000,45.919998,44.393696,60200
2007-09-28,45.900002,45.950001,45.900002,45.900002,44.374352,245200
2007-10-01,45.759998,45.799999,45.750000,45.790001,44.422867,43800
2007-10-02,45.770000,45.810001,45.759998,45.759998,44.393768,156400
2007-10-03,45.779999,45.820000,45.759998,45.770000,44.403465,262400
2007-10-04,45.810001,45.820000,45.799999,45.820000,44.451962,9400
2007-10-05,45.790001,45.849998,45.770000,45.770000,44.403465,44400
2007-10-08,45.790001,45.849998,45.779999,45.840000,44.471371,16600
2007-10-09,45.830002,45.849998,45.810001,45.810001,44.442257,728900
2007-10-10,45.820000,45.860001,45.820000,45.849998,44.481068,42800
2007-10-11,45.860001,45.860001,45.830002,45.840000,44.471371,20400
2007-10-12,45.869999,45.869999,45.830002,45.849998,44.481068,28500
2007-10-15,45.849998,45.860001,45.830002,45.830002,44.461674,64900
2007-10-16,45.849998,45.869999,45.840000,45.860001,44.490776,28700
2007-10-17,45.860001,45.880001,45.840000,45.880001,44.510178,118700
2007-10-18,45.910000,45.919998,45.880001,45.880001,44.510178,24800
2007-10-19,45.910000,45.919998,45.869999,45.919998,44.548969,201100
2007-10-22,45.889999,45.910000,45.860001,45.900002,44.529583,370100
2007-10-23,45.910000,45.919998,45.880001,45.900002,44.529583,25600
2007-10-24,45.919998,45.919998,45.880001,45.919998,44.548969,55000
2007-10-25,45.919998,45.919998,45.889999,45.910000,44.539276,24200
2007-10-26,45.910000,45.930000,45.889999,45.889999,44.519871,31800
2007-10-29,45.910000,45.930000,45.889999,45.930000,44.558685,15200
2007-10-30,45.939999,45.939999,45.910000,45.910000,44.539276,10500
2007-10-31,45.930000,45.939999,45.910000,45.919998,44.548969,26400
2007-11-01,45.779999,45.810001,45.770000,45.799999,44.579147,65500
2007-11-02,45.799999,45.830002,45.779999,45.830002,44.608356,17500
2007-11-05,45.830002,45.840000,45.799999,45.830002,44.608356,33600
2007-11-06,45.830002,45.830002,45.790001,45.830002,44.608356,33600
2007-11-07,45.799999,45.900002,45.799999,45.860001,44.637554,437700
2007-11-08,45.840000,45.869999,45.820000,45.830002,44.608356,294800
2007-11-09,45.889999,45.900002,45.849998,45.869999,44.647289,18800
2007-11-12,45.869999,45.889999,45.860001,45.889999,44.666756,144800
2007-11-13,45.880001,45.900002,45.860001,45.880001,44.657028,62800
2007-11-14,45.860001,45.889999,45.840000,45.860001,44.637554,201900
2007-11-15,45.869999,45.910000,45.840000,45.889999,44.666756,461800
2007-11-16,45.900002,45.900002,45.869999,45.889999,44.666756,48900
2007-11-19,45.889999,45.910000,45.849998,45.910000,44.686218,118300
2007-11-20,45.880001,45.919998,45.860001,45.919998,44.695934,81900
2007-11-21,45.919998,45.939999,45.889999,45.939999,44.715416,67100
2007-11-23,45.910000,45.950001,45.910000,45.950001,44.725163,15300
2007-11-26,45.980000,45.980000,45.889999,45.919998,44.695934,48700
2007-11-27,45.910000,45.959999,45.910000,45.959999,44.734898,42200
2007-11-28,45.959999,45.980000,45.919998,45.970001,44.744617,105400
2007-11-29,45.930000,45.980000,45.930000,45.939999,44.715416,73100
2007-11-30,45.990002,53.099998,45.919998,45.950001,44.725163,548600
2007-12-03,45.880001,45.889999,45.799999,45.799999,44.714420,240100
2007-12-04,45.810001,45.849998,45.799999,45.810001,44.724190,181500
2007-12-05,45.810001,45.840000,45.799999,45.810001,44.724190,55800
2007-12-06,45.820000,45.849998,45.770000,45.820000,44.733940,576400
2007-12-07,45.799999,45.860001,45.799999,45.860001,44.773003,87800
2007-12-10,45.860001,47.119999,45.830002,45.830002,44.743729,412100
2007-12-11,45.860001,45.889999,45.799999,45.889999,44.802284,83600
2007-12-12,45.880001,45.900002,45.840000,45.880001,44.792526,49400
2007-12-13,45.660000,45.910000,45.660000,45.900002,44.812050,54600
2007-12-14,45.900002,45.910000,45.860001,45.869999,44.782753,66000
2007-12-17,45.869999,45.919998,45.860001,45.889999,44.802284,89500
2007-12-18,45.840000,45.889999,45.830002,45.889999,44.802284,53000
2007-12-19,45.910000,45.919998,45.840000,45.910000,44.821804,51600
