,,,,US STOCKS,,,BONDS,,CASH,BILLS,INFLATION,,
,Morningstar,Yahoo,Ibbottson,,Ibbottson,Ibbottson,,Ibbottson,FRED (TB4WK),,Ibbottson,FRED (CPIAUCSL),
date,AGG,SP500TR,Large Caps,Spliced H+G,Mid-Treasuries,Mid-Corporate Bonds,Spliced B+40%F+60%G,30 day Treas Bills,4-Week Bill,Spliced I+J,,,Spliced L+M
1/27/1926,,,1,0.709,1.007,1.007,16.658,1.003,,1.003,1,,17.935
2/27/1926,,,0.962,0.682,1.01,1.012,16.728,1.006,,1.006,0.996,,17.864
3/27/1926,,,0.906,0.642,1.014,1.02,16.834,1.009,,1.009,0.991,,17.774
4/27/1926,,,0.929,0.659,1.023,1.03,16.992,1.013,,1.013,1,,17.935
5/27/1926,,,0.946,0.671,1.024,1.035,17.049,1.013,,1.013,0.994,,17.828
6/27/1926,,,0.989,0.701,1.027,1.035,17.069,1.016,,1.016,0.987,,17.702
7/27/1926,,,1.036,0.734,1.028,1.041,17.135,1.018,,1.018,0.978,,17.541
8/27/1926,,,1.062,0.753,1.029,1.046,17.191,1.021,,1.021,0.972,,17.433
9/27/1926,,,1.089,0.772,1.034,1.052,17.284,1.023,,1.023,0.978,,17.541
10/27/1926,,,1.058,0.75,1.04,1.062,17.423,1.027,,1.027,0.981,,17.595
11/27/1926,,,1.095,0.776,1.044,1.068,17.509,1.03,,1.03,0.985,,17.666
12/27/1926,,,1.116,0.791,1.054,1.074,17.634,1.033,,1.033,0.985,,17.666
1/27/1927,,,1.095,0.776,1.06,1.08,17.734,1.035,,1.035,0.978,,17.541
2/27/1927,,,1.154,0.818,1.064,1.087,17.829,1.038,,1.038,0.97,,17.397
3/27/1927,,,1.164,0.825,1.068,1.096,17.945,1.041,,1.041,0.965,,17.308
4/27/1927,,,1.187,0.842,1.07,1.102,18.018,1.044,,1.044,0.965,,17.308
5/27/1927,,,1.259,0.893,1.072,1.101,18.021,1.047,,1.047,0.972,,17.433
6/27/1927,,,1.251,0.887,1.075,1.106,18.091,1.049,,1.049,0.981,,17.595
7/27/1927,,,1.334,0.946,1.079,1.106,18.117,1.053,,1.053,0.963,,17.272
8/27/1927,,,1.403,0.995,1.086,1.115,18.253,1.055,,1.055,0.957,,17.164
9/27/1927,,,1.466,1.039,1.092,1.132,18.461,1.058,,1.058,0.963,,17.272
10/27/1927,,,1.393,0.988,1.088,1.138,18.494,1.06,,1.06,0.968,,17.361
11/27/1927,,,1.493,1.058,1.097,1.146,18.633,1.063,,1.063,0.966,,17.325
12/27/1927,,,1.535,1.088,1.101,1.154,18.739,1.065,,1.065,0.965,,17.308
1/27/1928,,,1.529,1.084,1.107,1.157,18.809,1.068,,1.068,0.963,,17.272
2/27/1928,,,1.509,1.07,1.106,1.165,18.882,1.071,,1.071,0.953,,17.092
3/27/1928,,,1.676,1.188,1.107,1.169,18.928,1.074,,1.074,0.953,,17.092
4/27/1928,,,1.733,1.229,1.107,1.171,18.948,1.077,,1.077,0.955,,17.128
5/27/1928,,,1.768,1.253,1.106,1.162,18.852,1.08,,1.08,0.961,,17.236
6/27/1928,,,1.7,1.205,1.108,1.159,18.835,1.084,,1.084,0.953,,17.092
7/27/1928,,,1.724,1.222,1.098,1.158,18.759,1.087,,1.087,0.953,,17.092
8/27/1928,,,1.862,1.32,1.104,1.168,18.898,1.091,,1.091,0.955,,17.128
9/27/1928,,,1.91,1.354,1.107,1.171,18.948,1.093,,1.093,0.963,,17.272
10/27/1928,,,1.942,1.377,1.11,1.181,19.067,1.098,,1.098,0.961,,17.236
11/27/1928,,,2.193,1.555,1.112,1.177,19.04,1.102,,1.102,0.959,,17.2
12/27/1928,,,2.204,1.563,1.112,1.186,19.13,1.103,,1.103,0.955,,17.128
1/27/1929,,,2.332,1.653,1108,1.192,19.15,1.107,,1.107,0.953,,17.092
2/27/1929,,,2.328,1.65,1.106,1.195,19.179,1.111,,1.111,0.952,,17.074
3/27/1929,,,2.325,1.648,1.107,1.185,19.087,1.114,,1.114,0.948,,17.003
4/27/1929,,,2.366,1.677,1.117,1.187,19.173,1.118,,1.118,0.944,,16.931
5/27/1929,,,2.28,1.616,1.11,1.192,19.176,1.123,,1.123,0.95,,17.039
6/27/1929,,,2.54,1.801,1.122,1.187,19.206,1.129,,1.129,0.953,,17.092
7/27/1929,,,2.66,1.886,1.129,1.189,19.272,1.133,,1.133,0.963,,17.272
8/27/1929,,,2.933,2.079,1.135,1.192,19.341,1.137,,1.137,0.966,,17.325
9/27/1929,,,2.794,1.981,1.133,1.196,19.368,1.141,,1.141,0.965,,17.308
10/27/1929,,,2.243,1.59,1.153,1.204,19.58,1.147,,1.147,0.965,,17.308
11/27/1929,,,1.963,1.392,1.173,1.202,19.692,1.151,,1.151,0.963,,17.272
12/27/1929,,,2.018,1.431,1.178,1.225,19.954,1.155,,1.155,0.957,,17.164
1/27/1930,,,2.147,1.522,1.174,1.233,20.006,1.157,,1.157,0.953,,17.092
2/27/1930,,,2.203,1.562,1.185,1.241,20.159,1.16,,1.16,0.95,,17.039
3/27/1930,,,2.382,1.689,1.204,1.259,20.463,1.164,,1.164,0.944,,16.931
4/27/1930,,,2.363,1.675,1.195,1.269,20.503,1.167,,1.167,0.95,,17.039
5/27/1930,,,2.34,1.659,1.202,1.276,20.619,1.17,,1.17,0.944,,16.931
6/27/1930,,,1.96,1.39,1.219,1.29,20.87,1.173,,1.173,0.939,,16.841
7/27/1930,,,2.035,1.443,1.226,1.298,20.996,1.175,,1.175,0.926,,16.608
8/27/1930,,,2.064,1.463,1.229,1.315,21.184,1.176,,1.176,0.92,,16.5
9/27/1930,,,1.8,1.276,1.236,1.329,21.37,1.179,,1.179,0.926,,16.608
10/27/1930,,,1.646,1.167,1.246,1.337,21.515,1.18,,1.18,0.92,,16.5
11/27/1930,,,1.631,1.156,1.255,1.335,21.555,1.181,,1.181,0.912,,16.357
12/27/1930,,,1.516,1.075,1.258,1.323,21.456,1.183,,1.183,0.899,,16.124
1/27/1931,,,1.592,1.129,1.249,1.35,21.664,1.185,,1.185,0.886,,15.891
2/27/1931,,,1.782,1.263,1.261,1.359,21.833,1.185,,1.185,0.873,,15.658
3/27/1931,,,1.662,1.178,1.267,1.372,22.001,1.187,,1.187,0.868,,15.568
4/27/1931,,,1.506,1.068,1.278,1.381,22.164,1.188,,1.188,0.862,,15.46
5/27/1931,,,1.314,0.932,1.293,1.4,22.451,1.189,,1.189,0.853,,15.299
6/27/1931,,,1.5,1.063,1.266,1.407,22.342,1.19,,1.19,0.844,,15.137
7/27/1931,,,1.392,0.987,1.268,1.414,22.425,1.19,,1.19,0.842,,15.102
8/27/1931,,,1.418,1.005,1.27,1.416,22.458,1.191,,1.191,0.84,,15.066
9/27/1931,,,0.996,0.706,1.255,1.414,22.339,1.191,,1.191,0.836,,14.994
10/27/1931,,,1.085,0.769,1.242,1.362,21.737,1.192,,1.192,0.831,,14.904
11/27/1931,,,0.999,0.708,1.248,1.337,21.528,1.194,,1.194,0.821,,14.725
12/27/1931,,,0.859,0.609,1.228,1.299,21.019,1.196,,1.196,0.814,,14.599
1/27/1932,,,0.836,0.593,1.224,1.292,20.923,1.198,,1.198,0.797,,14.294
2/27/1932,,,0.883,0.626,1.24,1.261,20.721,1.201,,1.201,0.786,,14.097
3/27/1932,,,0.781,0.554,1.25,1.306,21.234,1.203,,1.203,0.782,,14.025
4/27/1932,,,0.625,0.443,1.274,1.283,21.164,1.205,,1.205,0.777,,13.936
5/27/1932,,,0.488,0.346,1.263,1.297,21.231,1.205,,1.205,0.765,,13.721
6/27/1932,,,0.487,0.345,1.276,1.295,21.297,1.206,,1.206,0.76,,13.631
7/27/1932,,,0.672,0.476,1.292,1.301,21.462,1.206,,1.206,0.76,,13.631
8/27/1932,,,0.933,0.661,1.307,1.358,22.127,1.206,,1.206,0.75,,13.451
9/27/1932,,,0.9,0.638,1.311,1.399,22.561,1.207,,1.207,0.747,,13.398
10/27/1932,,,0.779,0.552,1.317,1.409,22.7,1.207,,1.207,0.741,,13.29
11/27/1932,,,0.746,0.529,1.321,1.419,22.825,1.207,,1.207,0.737,,13.218
12/27/1932,,,0.789,0.559,1.337,1.439,23.13,1.207,,1.207,0.73,,13.093
1/27/1933,,,0.795,0.564,1.335,1.518,23.901,1.207,,1.207,0.719,,12.895
2/27/1933,,,0.654,0.464,1.334,1.438,23.1,1.207,,1.207,0.708,,12.698
3/27/1933,,,0.678,0.481,1.348,1.445,23.262,1.208,,1.208,0.702,,12.591
4/27/1933,,,0.966,0.685,1.355,1.431,23.169,1.209,,1.209,0.7,,12.555
