,,,,FOREIGN STOCKS,,,,US STOCKS,,,BONDS,,CASH,,INFLATION,BILLS,CASH,BILLS
,MSCI,MSCI,MSCI,,Morningstar,Yahoo,Ibbottson,,Ibbottson,Ibbottson,,Ibbottson,FRED (TB3MS),Ibbottson,FRED (CPIAUCSL),FRED,FRED (TB4WK),
Date,USA,WORLD ex USA ,ACWI ex USA,Spliced C and D,AGG,SP500TR,Large Caps,Spliced H+G,Mid-Treasuries,Mid-Corporate Bonds,Spliced F+40%J+60%K,30 day Treas Bills,3-Month Bill,Inflation,CPI,3 MONTH,4-Week Bill,Spliced M+R
12/31/69,100,100,0,7.214,0,0,60.059,42.579,3.557,4.086,62.994,2.239,7.82,2.102,37.7,2.239,,2.239
1/30/70,92.886,97.904,0,7.063,0,0,55.594,39.414,3.568,4.144,63.632,2.252,7.87,2.11,37.9,2.254,,2.252
2/27/70,98.13,96.689,0,6.975,0,0,58.693,41.611,3.724,4.31,66.266,2.266,7.13,2.121,38.1,2.267,,2.266
3/31/70,98.729,96.679,0,6.974,0,0,58.949,41.793,3.757,4.291,66.295,2.279,6.63,2.132,38.3,2.28,,2.279
4/30/70,90.2,86.578,0,6.246,0,0,53.793,38.137,3.679,4.184,64.744,2.291,6.51,2.145,38.5,2.292,,2.291
5/29/70,85.125,80.234,0,5.788,0,0,50.685,35.934,3.72,4.115,64.337,2.303,6.84,2.155,38.6,2.305,,2.303
6/30/70,81.667,81.144,0,5.854,0,0,48.321,34.258,3.742,4.116,64.49,2.316,6.68,2.166,38.8,2.318,,2.316
7/31/70,87.823,84.385,0,6.088,0,0,52.035,36.891,3.799,4.345,67.095,2.328,6.45,2.173,38.9,2.33,,2.328
8/31/70,91.445,86.08,0,6.21,0,0,54.522,38.654,3.843,4.388,67.8,2.341,6.41,2.177,39,2.343,,2.341
9/30/70,94.574,88.778,0,6.404,0,0,56.495,40.053,3.919,4.449,68.89,2.353,6.12,2.188,39.2,2.355,,2.353
10/30/70,93.91,86.409,0,6.234,0,0,56.025,39.72,3.956,4.406,68.711,2.364,5.91,2.199,39.4,2.366,,2.364
11/30/70,99.08,83.545,0,6.027,0,0,58.858,41.728,4.134,4.664,72.386,2.375,5.28,2.207,39.6,2.377,,2.375
12/31/70,104.83,86.589,0,6.247,0,0,62.375,44.221,4.156,4.837,74.216,2.385,4.87,2.218,39.8,2.386,,2.385
1/29/71,109.712,90.707,0,6.544,0,0,65.07,46.132,4.226,5.095,77.188,2.394,4.44,2.22,39.9,2.395,,2.394
2/26/71,110.885,91.875,0,6.628,0,0,65.83,46.671,4.321,4.908,75.982,2.402,3.7,2.223,39.9,2.403,,2.402
3/31/71,115.446,96.647,0,6.972,0,0,68.422,48.508,4.401,5.035,77.741,2.409,3.38,2.231,40,2.409,,2.409
4/30/71,119.987,98.807,0,7.128,0,0,71.082,50.394,4.257,4.916,75.644,2.416,3.86,2.238,40.1,2.417,,2.416
5/31/71,115.381,99.667,0,7.19,0,0,68.306,48.426,4.262,4.837,74.906,2.423,4.14,2.25,40.3,2.425,,2.423
6/30/71,116.229,101.472,0,7.32,0,0,68.532,48.586,4.182,4.889,74.893,2.432,4.75,2.263,40.5,2.435,,2.432
7/30/71,112.147,104.117,0,7.511,0,0,65.879,46.706,4.193,4.876,74.837,2.442,5.4,2.268,40.6,2.446,,2.442
8/31/71,116.828,102.567,0,7.399,0,0,68.436,48.518,4.34,5.146,78.427,2.453,4.94,2.274,40.7,2.456,,2.453
9/30/71,115.434,102.361,0,7.384,0,0,68.132,48.303,4.351,5.094,77.992,2.462,4.69,2.276,40.8,2.466,,2.462
10/29/71,111.371,98.213,0,7.085,0,0,65.465,46.412,4.447,5.238,80.021,2.471,4.46,2.279,40.9,2.475,,2.471
11/30/71,111.897,100.082,0,7.22,0,0,65.478,46.421,4.47,5.253,80.317,2.48,4.22,2.283,41,2.484,,2.48
12/31/71,118.976,115.422,0,8.327,0,0,71.295,50.545,4.519,5.37,81.777,2.49,4.01,2.292,41.1,2.492,,2.49
1/31/72,121.455,123.937,0,8.941,0,0,72.762,51.585,4.567,5.352,81.913,2.497,3.38,2.294,41.2,2.499,,2.497
2/29/72,124.948,131.589,0,9.493,0,0,74.778,53.015,4.573,5.409,82.508,2.503,3.2,2.305,41.4,2.506,,2.503
3/31/72,126.991,133.029,0,9.597,0,0,75.396,53.453,4.58,5.422,82.681,2.51,3.73,2.309,41.4,2.513,,2.51
4/28/72,127.288,138.234,0,9.972,0,0,75.909,53.816,4.586,5.441,82.905,2.517,3.71,2.315,41.5,2.521,,2.517
5/31/72,127.239,147.748,0,10.658,0,0,77.404,54.876,4.594,5.53,83.825,2.525,3.69,2.322,41.6,2.529,,2.525
6/30/72,125.054,142.808,0,10.302,0,0,75.898,53.809,4.614,5.493,83.595,2.532,3.91,2.328,41.7,2.537,,2.532
7/31/72,124.441,151.819,0,10.952,0,0,76.26,54.065,4.621,5.509,83.796,2.54,3.98,2.337,41.8,2.545,,2.54
8/31/72,129.073,153.755,0,11.092,0,0,79.072,56.059,4.628,5.549,84.232,2.547,4.02,2.341,41.9,2.554,,2.547
9/29/72,129.375,146.441,0,10.564,0,0,78.872,55.917,4.635,5.566,84.443,2.556,4.66,2.35,42.1,2.564,,2.556
10/31/72,131.162,146.288,0,10.553,0,0,79.807,56.58,4.642,5.622,85.035,2.566,4.74,2.358,42.2,2.574,,2.566
11/30/72,136.315,158.479,0,11.433,0,0,83.648,59.303,4.662,5.762,86.531,2.575,4.78,2.363,42.4,2.584,,2.575
12/29/72,138.685,162.011,0,11.687,0,0,84.838,60.147,4.752,5.76,87.097,2.585,5.07,2.371,42.5,2.595,,2.585
1/31/73,135.496,169.463,0,12.225,0,0,83.573,59.25,4.749,5.729,86.775,2.596,5.41,2.378,42.7,2.607,,2.596
2/28/73,129.271,186.922,0,13.484,0,0,80.627,57.161,4.713,5.742,86.668,2.607,5.6,2.395,43,2.619,,2.607
3/30/73,127.862,191.163,0,13.79,0,0,80.692,57.207,4.735,5.768,87.064,2.619,6.09,2.417,43.4,2.632,,2.619
4/30/73,123.065,178.183,0,12.854,0,0,77.602,55.017,4.765,5.803,87.601,2.633,6.26,2.434,43.7,2.646,,2.633
5/31/73,121.224,181.378,0,13.085,0,0,76.34,54.122,4.792,5.78,87.552,2.646,6.36,2.449,43.9,2.66,,2.646
6/29/73,121.493,183.997,0,13.273,0,0,76.035,53.906,4.79,5.748,87.227,2.66,7.19,2.466,44.2,2.676,,2.66
7/31/73,126.387,184.209,0,13.289,0,0,79.127,56.098,4.657,5.474,83.689,2.677,8.01,2.471,44.2,2.694,,2.677
8/31/73,122.291,174.33,0,12.576,0,0,76.429,54.185,4.776,5.669,86.365,2.695,8.67,2.516,45,2.713,,2.695
